level	expression	reading	hard_morae	meaning	tags
3	至急	しきゅう	し	urgent, pressing	JLPT JLPT_2 JLPT_3
3	しきりに	しきりに	し	frequently, repeatedly, eagerly	JLPT JLPT_2 JLPT_3
3	刺激	しげき	し	stimulus, impetus, incentive	JLPT JLPT_2 JLPT_3
3	資源	しげん	し	resources	JLPT JLPT_2 JLPT_3
3	事件	じけん	じ	event, affair, incident	JLPT JLPT_2 JLPT_3
3	時刻	じこく	じ	time, hour	JLPT JLPT_2 JLPT_3
3	自殺	じさつ	じ,さ,つ	suicide	JLPT JLPT_2 JLPT_3
3	事実	じじつ	じ,じ,つ	fact, truth, reality	JLPT JLPT_2 JLPT_3
3	支出	ししゅつ	し,しゅ,つ	expenditure, expenses	JLPT JLPT_2 JLPT_3
3	事情	じじょう	じ,じょ	circumstances, situation, reasons	JLPT JLPT_2 JLPT_3
3	詩人	しじん	し,じ	poet	JLPT JLPT_2 JLPT_3
3	自身	じしん	じ,し	oneself	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14
3	沈む	しずむ	し,ず	to sink; to feel depressed	JLPT JLPT_2 JLPT_3
3	自然	しぜん	し,ぜ	nature, spontaneous	JLPT JLPT_2 JLPT_3
3	思想	しそう	し,そ	thought, idea	JLPT JLPT_2 JLPT_3
3	舌	した	し	tongue	JLPT JLPT_2 JLPT_3
3	次第	しだい	し	order; circumstances; immediate(ly)	JLPT JLPT_2 JLPT_3
3	従う	したがう	し	to abide (by the rules), to obey	JLPT JLPT_2 JLPT_3
3	したがって	したがって	し	therefore, consequently	JLPT JLPT_2 JLPT_3
3	親しい	したしい	し,し	intimate, close (e.g., friend)	JLPT JLPT_2 JLPT_3
3	質	しつ	し,つ	quality, nature (of person)	JLPT JLPT_2 JLPT_3
3	失業	しつぎょう	し,つ	unemployment	JLPT JLPT_2 JLPT_3
3	湿気	しっけ	し	moisture, humidity, dampness	JLPT JLPT_2 JLPT_3
3	実験	じっけん	じ	lab work; experiment	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.5
3	実現	じつげん	じ,つ	implementation, materialization, realization	JLPT JLPT_2 JLPT_3
3	実行	じっこう	じ	practice, execution (e.g., program), realization	JLPT JLPT_2 JLPT_3
3	実際	じっさい	じ,さ	in fact; in actuality	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15
3	実施	じっし	じ,し	enforcement, carry out, operation	JLPT JLPT_2 JLPT_3
3	湿度	しつど	し,つ	humidity	JLPT JLPT_2 JLPT_3
3	じっと	じっと	じ	patiently, quietly	JLPT JLPT_2 JLPT_3
3	実に	じつに	じ,つ	indeed, truly, surely	JLPT JLPT_2 JLPT_3
3	実は	じつは	じ,つ	actually; in fact	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.1
3	失望	しつぼう	し,つ	disappointment, despair	JLPT JLPT_2 JLPT_3
3	実力	じつりょく	じ,つ	ability; force	JLPT JLPT_2 JLPT_3
3	支店	してん	し	branch store (office)	JLPT JLPT_3 JLPT_2 Genki_Ln.20 Genki
3	指導	しどう	し	leadership, guidance, coaching	JLPT JLPT_2 JLPT_3
3	自動	じどう	じ	automatic, self-motion	JLPT JLPT_2 JLPT_3
3	児童	じどう	じ	children, juvenile	JLPT JLPT_2 JLPT_3
3	品	しな	し	thing, article, goods	JLPT JLPT_2 JLPT_3
3	支配	しはい	し	rule, control, direction	JLPT JLPT_2 JLPT_3
3	芝居	しばい	し	play, drama	JLPT JLPT_2 JLPT_3
3	しばしば	しばしば	し,し	often, again and again, frequently	JLPT JLPT_2 JLPT_3
3	芝生	しばふ	し	lawn	JLPT JLPT_2 JLPT_3
3	支払	しはらい	し	payment	JLPT JLPT_2 JLPT_3
3	支払う	しはらう	し	to pay	JLPT JLPT_2 JLPT_3
3	死亡	しぼう	し	death	JLPT JLPT_2 JLPT_3
3	資本	しほん	し	funds, capital	JLPT JLPT_2 JLPT_3
3	姉妹	しまい	し	sisters	JLPT JLPT_2 JLPT_3
3	しまった (かん)	しまった (かん)	し	Damn it!	JLPT JLPT_2 JLPT_3
3	自慢	じまん	じ	pride, boast	JLPT JLPT_2 JLPT_3
3	地味	じみ	じ	quiet, plain, conservative	JLPT JLPT_2 JLPT_3
3	示す	しめす	し,す	to show, to indicate	JLPT JLPT_2 JLPT_3
3	占める	しめる	し	to take up; to account for	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14
3	湿る	しめる	し	to be wet, to be damp	JLPT JLPT_2 JLPT_3
3	下	しも	し	under, below, beneath	JLPT JLPT_2 JLPT_3
3	霜	しも	し	frost	JLPT JLPT_2 JLPT_3
3	借金	しゃっきん	しゃ	debt, loan, liabilities	JLPT JLPT_2 JLPT_3
3	しゃべる	しゃべる	しゃ	to talk, to chat, to chatter (same as 話す (はなす))	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8
3	週	しゅう	しゅ	week	JLPT JLPT_2 JLPT_3
3	州	しゅう	しゅ	state, province	JLPT JLPT_2 JLPT_3
3	銃	じゅう	じゅ	gun	JLPT JLPT_2 JLPT_3
3	周囲	しゅうい	しゅ	surroundings, circumference, environs	JLPT JLPT_2 JLPT_3
3	収穫	しゅうかく	しゅ	harvest, crop, ingathering	JLPT JLPT_2 JLPT_3
3	宗教	しゅうきょう	しゅ	religion	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3
3	重視	じゅうし	じゅ,し	importance, stress	JLPT JLPT_2 JLPT_3
3	就職	しゅうしょく	しゅ,しょ	finding employment	JLPT JLPT_2 JLPT_3
3	ジュース	ジュース	じゅ,す	juice, soft drink; deuce	JLPT Genki_Ln.12 JLPT_3 JLPT_2 Genki
3	修正	しゅうせい	しゅ,せ	amendment, correction	JLPT JLPT_2 JLPT_3
3	重体	じゅうたい	じゅ	seriously ill, critical state	JLPT JLPT_2 JLPT_3
3	渋滞	じゅうたい	じゅ	congestion (e.g., traffic), delay	JLPT JLPT_2 JLPT_3
3	重大	じゅうだい	じゅ	serious, important	JLPT JLPT_2 JLPT_3
3	住宅	じゅうたく	じゅ	resident, housing	JLPT JLPT_2 JLPT_3
3	集団	しゅうだん	しゅ	group, mass	JLPT JLPT_2 JLPT_3
3	集中	しゅうちゅう	しゅ,ちゅ	concentration, focusing the mind	JLPT JLPT_2 JLPT_3
3	収入	しゅうにゅう	しゅ	income, revenue	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14
3	住民	じゅうみん	じゅ	inhabitants, residents	JLPT JLPT_2 JLPT_3
3	重要	じゅうよう	じゅ	important, essential	JLPT JLPT_2 JLPT_3
3	修理	しゅうり	しゅ	repairing, mending	JLPT JLPT_2 JLPT_3
3	主義	しゅぎ	しゅ	doctrine, cause, principle	JLPT JLPT_2 JLPT_3
3	宿泊	しゅくはく	しゅ	lodging	JLPT JLPT_2 JLPT_3
3	手術	しゅじゅつ	しゅ,じゅ,つ	surgical operation	JLPT JLPT_2 JLPT_3
3	首相	しゅしょう	しゅ,しょ	Prime Minister	JLPT JLPT_2 JLPT_3
3	手段	しゅだん	しゅ	means, way, measure	JLPT JLPT_2 JLPT_3
3	主張	しゅちょう	しゅ,ちょ	claim, insistence, assertion	JLPT JLPT_2 JLPT_3
3	出場	しゅつじょう	しゅ,つ,じょ	participation	JLPT JLPT_2 JLPT_3
3	出身	しゅっしん	しゅ,し	come from	JLPT JLPT_2 JLPT_3
3	出版	しゅっぱん	しゅ	publication	JLPT JLPT_2 JLPT_3
3	首都	しゅと	しゅ	capital city	JLPT JLPT_2 JLPT_3
3	主婦	しゅふ	しゅ	housewife	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8 Genki_Ln.1 Genki
3	主要	しゅよう	しゅ	chief, main	JLPT JLPT_2 JLPT_3
3	需要	じゅよう	じゅ	demand	JLPT JLPT_2 JLPT_3
3	種類	しゅるい	しゅ	variety, kind	JLPT JLPT_2 JLPT_3
3	順	じゅん	じゅ	order, turn	JLPT JLPT_2 JLPT_3
3	瞬間	しゅんかん	しゅ	moment, second	JLPT JLPT_2 JLPT_3
3	順調	じゅんちょう	じゅ,ちょ	doing well	JLPT JLPT_2 JLPT_3
3	順番	じゅんばん	じゅ	turn (in line), order of things	JLPT JLPT_2 JLPT_3
3	使用	しよう	し	use (same as 使うこと (つかうこと)), application, employment, utilization	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.11
3	小	しょう	しょ	small	JLPT JLPT_2 JLPT_3
3	章	しょう	しょ	chapter, section; medal	JLPT JLPT_2 JLPT_3
3	賞	しょう	しょ	prize, award	JLPT JLPT_2 JLPT_3
3	上	じょう	じょ	first volume; superior quality; governmental	JLPT JLPT_2 JLPT_3
3	障害	しょうがい	しょ	obstacle, impediment	JLPT JLPT_2 JLPT_3
3	奨学金	しょうがくきん	しょ	scholarship	Genki_Ln.16 JLPT JLPT_3 JLPT_2 Genki
3	乗客	じょうきゃく	じょ	passenger	JLPT JLPT_2 JLPT_3
3	上京	じょうきょう	じょ	proceeding to the capital (Tokyo)	JLPT JLPT_2 JLPT_3
3	状況	じょうきょう	じょ	state of affairs, situation	JLPT JLPT_2 JLPT_3
3	条件	じょうけん	じょ	conditions, terms	JLPT JLPT_2 JLPT_3
3	正午	しょうご	しょ	noon, mid-day	JLPT JLPT_2 JLPT_3
3	正直	しょうじき	しょ,じ	honesty, integrity, frankness	JLPT JLPT_2 JLPT_3
3	常識	じょうしき	じょ,し	common sense	JLPT JLPT_2 JLPT_3
3	少女	しょうじょ	しょ,じょ	young girl	JLPT JLPT_2 JLPT_3
3	少々	しょうしょう	しょ,しょ	a little; short (time) (formal for 少し (すこし))	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8 Genki_Ln.20 Genki
3	症状	しょうじょう	しょ,じょ	symptoms, condition	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12
3	生じる	しょうじる	しょ,じ	to occur, to arise, to be generated	JLPT JLPT_2 JLPT_3
3	状態	じょうたい	じょ	condition, situation	JLPT JLPT_2 JLPT_3
3	上達	じょうたつ	じょ,つ	improvement, advance	JLPT JLPT_2 JLPT_3
3	冗談	じょうだん	じょ	a joke	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10
3	上等	じょうとう	じょ	first class, very good	JLPT JLPT_2 JLPT_3
3	衝突	しょうとつ	しょ,つ	collision, conflict	JLPT JLPT_2 JLPT_3
3	商人	しょうにん	しょ	trader, shopkeeper, merchant	JLPT JLPT_2 JLPT_3
3	承認	しょうにん	しょ	recognition, approval	JLPT JLPT_2 JLPT_3
3	少年	しょうねん	しょ	boys, juveniles	JLPT JLPT_2 JLPT_3
3	商売	しょうばい	しょ	trade, business, commerce	JLPT JLPT_2 JLPT_3
3	消費	しょうひ	しょ	consumption, expenditure	JLPT JLPT_2 JLPT_3
3	商品	しょうひん	しょ	commodity, merchandise	JLPT JLPT_2 JLPT_3
3	賞品	しょうひん	しょ	prize, trophy	JLPT JLPT_2 JLPT_3
3	消防	しょうぼう	しょ	fire fighting, fire department	JLPT JLPT_2 JLPT_3
3	情報	じょうほう	じょ	information, (military) intelligence	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3
3	証明	しょうめい	しょ	proof, verification	JLPT JLPT_2 JLPT_3
3	省略	しょうりゃく	しょ	omission, abbreviation, abridgment	JLPT JLPT_2 JLPT_3
3	女王	じょおう	じょ	queen	JLPT JLPT_2 JLPT_3
3	職	しょく	しょ	employment	JLPT JLPT_2 JLPT_3
3	職業	しょくぎょう	しょ	occupation, business	JLPT JLPT_2 JLPT_3
3	食卓	しょくたく	しょ	dining table	JLPT JLPT_2 JLPT_3
3	食品	しょくひん	しょ	foodstuff	JLPT JLPT_2 JLPT_3
3	植物	しょくぶつ	しょ,つ	plant, vegetation	JLPT JLPT_2 JLPT_3
3	食物	しょくもつ	しょ,つ	food, foodstuff	JLPT JLPT_2 JLPT_3
3	食欲	しょくよく	しょ	appetite (for food)	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12
3	食料	しょくりょう	しょ	food	JLPT JLPT_2 JLPT_3
3	食糧	しょくりょう	しょ	provisions, rations	JLPT JLPT_2 JLPT_3
3	書斎	しょさい	しょ,さ	study, den	JLPT JLPT_2 JLPT_3
3	女子	じょし	じょ,し	woman, girl	JLPT JLPT_2 JLPT_3
3	助手	じょしゅ	じょ,しゅ	helper, assistant	JLPT JLPT_2 JLPT_3
3	徐々に	じょじょに	じょ,じょ	slowly, little by little	JLPT JLPT_2 JLPT_3
3	署名	しょめい	しょ	signature	JLPT JLPT_2 JLPT_3
3	書物	しょもつ	しょ,つ	books	JLPT JLPT_2 JLPT_3
3	女優	じょゆう	じょ	actress	JLPT JLPT_2 JLPT_3
3	処理	しょり	しょ	processing, treatment, disposition	JLPT JLPT_2 JLPT_3
3	書類	しょるい	しょ	documents, official papers	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14 Genki_Ln.22 Genki
3	知らせ	しらせ	し,せ	notice	JLPT JLPT_2 JLPT_3
3	尻	しり	し	buttocks, bottom	JLPT JLPT_2 JLPT_3
3	知合い	しりあい	し	acquaintance	JLPT JLPT_2 JLPT_3
3	印	しるし	し,し	mark; symbol; evidence	JLPT JLPT_2 JLPT_3
3	城	しろ	し	castle	JLPT JLPT_2 JLPT_3
3	進学	しんがく	し	going on to university	JLPT JLPT_2 JLPT_3
3	神経	しんけい	し	nerve, sensitivity	JLPT JLPT_2 JLPT_3
3	真剣	しんけん	し	seriousness, earnestness	JLPT JLPT_2 JLPT_3
3	信仰	しんこう	し	(religious) faith, belief	JLPT JLPT_2 JLPT_3
3	信号	しんごう	し	traffic lights, signal, semaphore	JLPT JLPT_3 JLPT_2 Genki_Ln.20 Genki
3	人工	じんこう	じ	artificial, man made, human work,	JLPT JLPT_2 JLPT_3
3	深刻	しんこく	し	serious	JLPT JLPT_2 JLPT_3
3	診察	しんさつ	し,さ,つ	medical examination (of a patient)	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12
3	人種	じんしゅ	じ,しゅ	race (of people)	JLPT JLPT_2 JLPT_3
3	信じる	しんじる	し,じ	to believe	JLPT JLPT_2 JLPT_3
3	人生	じんせい	じ,せ	(human) life (e.g., conception to death)	JLPT JLPT_2 JLPT_3
3	親戚	しんせき	し,せ	relative(s)	Genki_Ln.16 JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.9 Genki
3	新鮮	しんせん	し,せ	fresh	JLPT JLPT_2 JLPT_3
3	心臓	しんぞう	し,ぞ	heart	JLPT JLPT_2 JLPT_3
3	身体	しんたい	し	the body	JLPT JLPT_2 JLPT_3
3	身長	しんちょう	し,ちょ	height (of body), stature	JLPT JLPT_2 JLPT_3
3	慎重	しんちょう	し,ちょ	careful, prudent, cautious	JLPT JLPT_2 JLPT_3
3	審判	しんぱん	し	umpire, referee, judgment	JLPT JLPT_2 JLPT_3
3	人物	じんぶつ	じ,つ	character, personality, talented man	JLPT JLPT_2 JLPT_3
3	進歩	しんぽ	し	improvement, progress, development	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13
3	親友	しんゆう	し	close friend, buddy	JLPT JLPT_2 JLPT_3
3	信用	しんよう	し	confidence, dependence	JLPT JLPT_2 JLPT_3
3	信頼	しんらい	し	reliance, trust, confidence	JLPT JLPT_2 JLPT_3
3	心理	しんり	し	mentality	JLPT JLPT_2 JLPT_3
3	人類	じんるい	じ	mankind, humanity	JLPT JLPT_2 JLPT_3
3	巣	す	す	nest, breeding place	JLPT JLPT_2 JLPT_3
3	酢	す	す	vinegar	JLPT JLPT_2 JLPT_3
3	図	ず	ず	figure, drawing, illustration	JLPT JLPT_2 JLPT_3
3	水準	すいじゅん	す,じゅ	level, standard	JLPT JLPT_2 JLPT_3
3	推薦	すいせん	す,せ	recommendation	JLPT JLPT_2 JLPT_3
3	スイッチ	スイッチ	す,ち	switch	JLPT Genki_Ln.18 JLPT_3 JLPT_2 Genki
3	睡眠	すいみん	す	sleep	JLPT JLPT_2 JLPT_3
3	数	すう	す	number, figure	JLPT JLPT_2 JLPT_3
3	数字	すうじ	す,じ	numeral, figure	JLPT JLPT_2 JLPT_3
3	スープ	スープ	す	(Western) soup	JLPT JLPT_2 JLPT_3
3	末	すえ	す	the end of, powder	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.4
3	姿	すがた	す	figure, shape, appearance	JLPT JLPT_2 JLPT_3
3	スキー	スキー	す	ski	JLPT JLPT_3 JLPT_2 Genki_Ln.9 Genki
3	救う	すくう	す	to rescue from, to help out of	JLPT JLPT_2 JLPT_3
3	すくなくとも	すくなくとも	す	at least	JLPT JLPT_2 JLPT_3
3	優れる	すぐれる	す	to surpass, to outstrip, to excel	JLPT JLPT_2 JLPT_3
3	スケート	スケート	す	skate(s), skating	JLPT JLPT_2 JLPT_3
3	スケジュール	スケジュール	す,じゅ	schedule	JLPT JLPT_2 JLPT_3
3	少しも	すこしも	す,し	anything of, not one bit	JLPT JLPT_2 JLPT_3
3	過ごす	すごす	す,す	to pass, to spend (time)	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.11
3	筋	すじ	す,じ	muscle, string, line	JLPT JLPT_2 JLPT_3
3	進める	すすめる	す,す	to advance, to promote, to hasten	JLPT JLPT_2 JLPT_3
3	勧める	すすめる	す,す	to urge (someone) to do (something), to recommend	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13
3	スター	スター	す	star	JLPT JLPT_2 JLPT_3
3	スタイル	スタイル	す	style	JLPT JLPT_2 JLPT_3
3	スタンド	スタンド	す	stand	JLPT JLPT_2 JLPT_3
3	頭痛	ずつう	ず,つ	headache	JLPT JLPT_2 JLPT_3
3	ずっと	ずっと	ず	for a long time; all the time; consecutively	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.5 Genki_Ln.22 Genki
3	すっぱい	すっぱい	す	sour, acid	JLPT JLPT_2 JLPT_3
3	すてき	すてき	す	lovely, great	JLPT JLPT_2 JLPT_3
3	既に	すでに	す	already (same as もう)	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13
3	すなわち	すなわち	す,ち	that is, namely, e.g.	JLPT JLPT_2 JLPT_3
3	スピーチ	スピーチ	す,ち	speech	JLPT JLPT_3 JLPT_2 Genki Genki_Ln.21
3	全て	すべて	す	all, the whole, entirely	JLPT JLPT_2 JLPT_3
3	済ませる	すませる	す,せ	to be finished	JLPT JLPT_2 JLPT_3
3	角	すみ	す	corner	JLPT JLPT_2 JLPT_3
3	墨	すみ	す	ink	JLPT JLPT_2 JLPT_3
3	すみません (かん)	すみません (かん)	す,せ	sorry, excuse me	JLPT JLPT_2 JLPT_3
3	澄む	すむ	す	to clear (e.g., weather), to become transparent	JLPT JLPT_2 JLPT_3
3	清む	すむ	す	to clear (e.g., weather), to become transparent	JLPT JLPT_2 JLPT_3
3	刷る	する	す	to print	JLPT JLPT_2 JLPT_3
3	為る	する	す	to do, to attempt	JLPT JLPT_2 JLPT_3
3	鋭い	するどい	す	pointed, sharp	JLPT JLPT_2 JLPT_3
3	すれ違う	すれちがう	す,ち	to pass by one another	JLPT JLPT_2 JLPT_3
3	ずれる	ずれる	ず	move, off the point	JLPT JLPT_2 JLPT_3
3	正	せい	せ	(logical) true, regular	JLPT JLPT_2 JLPT_3
3	生	せい	せ	birth	JLPT JLPT_2 JLPT_3
3	性	せい	せ	sex, gender	JLPT JLPT_2 JLPT_3
3	姓	せい	せ	surname, family name	JLPT JLPT_2 JLPT_3
3	所為	せい	せ	cause, reason, fault	JLPT JLPT_2 JLPT_3
3	税	ぜい	ぜ	tax	JLPT JLPT_2 JLPT_3
3	性格	せいかく	せ	character, personality	JLPT Intermediate_Japanese Genki_Ln.19 JLPT_3 JLPT_2 Genki Intermediate_Japanese_Ln.3
3	正確	せいかく	せ	accurate, punctuality, exact	JLPT JLPT_2 JLPT_3
3	世紀	せいき	せ	century	JLPT JLPT_2 JLPT_3
3	請求	せいきゅう	せ	claim, demand, request	JLPT JLPT_2 JLPT_3
3	税金	ぜいきん	ぜ	tax, duty	Genki_Ln.15 JLPT JLPT_3 JLPT_2 Genki
3	清潔	せいけつ	せ,つ	clean	JLPT JLPT_2 JLPT_3
3	制限	せいげん	せ	restriction, restraint, limitation	JLPT JLPT_2 JLPT_3
3	成功	せいこう	せ	success, hit	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12
3	正式	せいしき	せ,し	official, formal	JLPT JLPT_2 JLPT_3
3	性質	せいしつ	せ,し,つ	nature, property, disposition	JLPT JLPT_2 JLPT_3
3	精神	せいしん	せ,し	mind, soul, spirit	JLPT JLPT_2 JLPT_3
3	成人	せいじん	せ,じ	adult	JLPT JLPT_2 JLPT_3
3	精々	せいぜい	せ,ぜ	at the most, at best	JLPT JLPT_2 JLPT_3
3	成績	せいせき	せ,せ	grade (i.e., on a test), academic record	JLPT Genki_Ln.12 Intermediate_Japanese JLPT_3 JLPT_2 Genki Intermediate_Japanese_Ln.3
3	製造	せいぞう	せ,ぞ	manufacture, production	JLPT JLPT_2 JLPT_3
3	贅沢	ぜいたく	ぜ	luxury, extravagance	JLPT JLPT_2 JLPT_3
3	成長	せいちょう	せ,ちょ	growth	JLPT JLPT_2 JLPT_3
3	生長	せいちょう	せ,ちょ	growth	JLPT JLPT_2 JLPT_3
3	制度	せいど	せ	system, institution	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14
3	青年	せいねん	せ	youth, young man	JLPT JLPT_2 JLPT_3
3	生年月日	せいねんがっぴ	せ	birth date	JLPT JLPT_2 JLPT_3
3	製品	せいひん	せ	manufactured goods, finished goods	JLPT JLPT_2 JLPT_3
3	政府	せいふ	せ	government, administration	JLPT Intermediate_Japanese Genki JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15 Genki_Ln.21
3	生物	せいぶつ	せ,つ	living thing, organism	JLPT JLPT_2 JLPT_3
3	生命	せいめい	せ	life	JLPT JLPT_2 JLPT_3
3	整理	せいり	せ	sorting, arrangement	JLPT JLPT_2 JLPT_3
3	咳	せき	せ	cough	JLPT Genki_Ln.12 JLPT_3 JLPT_2 Genki
3	石炭	せきたん	せ	coal	JLPT JLPT_2 JLPT_3
3	責任	せきにん	せ	duty, responsibility	JLPT JLPT_2 JLPT_3
3	石油	せきゆ	せ	oil, petroleum, kerosene	JLPT JLPT_2 JLPT_3
3	世間	せけん	せ	world, society	JLPT JLPT_2 JLPT_3
3	説	せつ	せ,つ	theory	JLPT JLPT_2 JLPT_3
3	積極的	せっきょくてき	せ	positive, active, proactive	JLPT JLPT_2 JLPT_3
3	設計	せっけい	せ	plan, design	JLPT JLPT_2 JLPT_3
3	絶対	ぜったい	ぜ	definitely, without fail, absoluteness	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.7
3	セット	セット	せ	set	JLPT JLPT_2 JLPT_3
3	相変わらず	あいかわらず	ず	as ever, as usual	JLPT JLPT_2 JLPT_3
3	愛情	あいじょう	じょ	love, affection	JLPT JLPT_2 JLPT_3
3	合図	あいず	ず	sign, signal	JLPT JLPT_2 JLPT_3
3	アイスクリーム	アイスクリーム	す	ice cream	JLPT JLPT_2 JLPT_3
3	愛する	あいする	す	to love	JLPT JLPT_2 JLPT_3
3	握手	あくしゅ	しゅ	handshake	JLPT JLPT_2 JLPT_3
3	預かる	あずかる	ず	to keep (something) for (someone)	Intermediate_Japanese Intermediate_Japanese_Ln.10 JLPT JLPT_2 JLPT_3
3	預ける	あずける	ず	to give into custody, to deposit	JLPT JLPT_2 JLPT_3
3	汗	あせ	せ	sweat, perspiration	JLPT JLPT_2 JLPT_3
3	あちこち	あちこち	ち,ち	here and there	JLPT JLPT_2 JLPT_3
3	扱う	あつかう	つ	to treat, to handle, to deal with	Intermediate_Japanese Intermediate_Japanese_Ln.14 JLPT JLPT_2 JLPT_3
3	集まり	あつまり	つ	gathering, meeting, collection	JLPT JLPT_2 JLPT_3
3	嵐	あらし	し	storm	JLPT JLPT_2 JLPT_3
3	争う	あらそう	そ	to dispute, to argue, to fight	JLPT JLPT_2 JLPT_3
3	表す	あらわす	す	to express, to show	JLPT JLPT_2 JLPT_3
3	現す	あらわす	す	to show, to appear, to reveal	JLPT JLPT_2 JLPT_3
3	著す	あらわす	す	to write, to publish	JLPT JLPT_2 JLPT_3
3	合わせる	あわせる	せ	to combine	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14
3	医師	いし	し	doctor, physician	JLPT JLPT_2 JLPT_3
3	意思	いし	し	intention, purpose	JLPT JLPT_2 JLPT_3
3	意志	いし	し	will, volition	JLPT JLPT_2 JLPT_3
3	維持	いじ	じ	maintenance, preservation	JLPT JLPT_2 JLPT_3
