expression	reading	keep	example_sentence	note
屑	くず	yes	紙の屑を捨てる。	None
岸	きし	yes	川の岸を歩いた。	None
州	しゅう	yes	カリフォルニア州に住んでいる。	None
巣	す	yes	鳥が巣を作った。	None
工事	こうじ	yes	道路の工事が始まった。	None
工場	こうじょう	yes	工場で働いています。	None
差	さ	yes	値段に差がある。	None
差す	さす	yes	傘を差す。	None
市	いち	yes	日曜日に市が立つ。	None
市	し	yes	この市は人口が多い。	None
常識	じょうしき	yes	それは常識だよ。	None
年	とし	yes	年を取りました。	None
幼児	ようじ	yes	幼児向けの本を買った。	None
幼稚	ようち	yes	考えが幼稚だ。	None
延長	えんちょう	yes	試合が延長になった。	None
建つ	たつ	yes	新しい家が建つ。	None
強調	きょうちょう	yes	安全を強調した。	None
待つ	まつ	yes	駅で待っています。	None
後者	こうしゃ	yes	私は後者を選ぶ。	None
復習	ふくしゅう	yes	毎日復習をします。	None
循環	じゅんかん	yes	血液の循環が悪い。	None
心臓	しんぞう	yes	心臓がドキドキする。	None
性	せい	no		bound morpheme/suffix; standalone use rare
患者	かんじゃ	yes	患者を診察する。	None
情	じょう	yes	彼は情が深い。	None
意地	いじ	yes	意地を張るな。	None
意志	いし	yes	強い意志を持つ。	None
意思	いし	yes	自分の意思で決めた。	None
感ずる	かんずる	yes	責任を感ずる。	None
感情	かんじょう	yes	感情を抑える。	None
感想	かんそう	yes	感想を聞かせてください。	None
感謝	かんしゃ	yes	感謝しています。	None
慎重	しんちょう	yes	慎重に運転する。	None
成人	せいじん	yes	来年成人になります。	None
成長	せいちょう	yes	子供の成長が早い。	None
所為	せい	yes	君のせいじゃないよ。	None
扇子	せんす	yes	扇子で涼んだ。	None
打つ	うつ	yes	ボールを打つ。	None
打つ	ぶつ	yes	子供をぶつのはよくない。	None
指す	さす	yes	地図を指す。	None
指導	しどう	yes	先生の指導を受ける。	None
指揮	しき	yes	彼は指揮を執った。	None
挑戦	ちょうせん	yes	新しいことに挑戦する。	None
振興	しんこう	yes	地域の振興を図る。	None
挿す	さす	yes	花瓶に花を挿す。	None
捜査	そうさ	yes	警察が捜査している。	None
採集	さいしゅう	yes	昆虫の採集が趣味です。	None
摘む	つむ	yes	花を摘む。	None
撃つ	うつ	yes	的を撃つ練習をする。	None
操作	そうさ	yes	機械の操作は簡単です。	None
擦る	する	yes	マッチを擦る。	None
支店	してん	yes	東京支店で働いています。	None
支給	しきゅう	yes	給料が支給された。	None
改造	かいぞう	yes	車を改造した。	None
散る	ちる	yes	桜の花が散る。	None
数	かず	yes	数を数える。	None
数	すう	no		bound morpheme; standalone is 数(かず)
数字	すうじ	yes	数字を書いてください。	None
数学	すうがく	yes	数学が好きだ。	None
敷く	しく	yes	布団を敷く。	None
文字	もじ	yes	文字を大きくしてください。	None
斜	はす	no		rarely standalone; usually 斜め(ななめ) or in compounds
断つ	たつ	yes	お酒を断つことにした。	None
新興	しんこう	no		bound/attributive only (新興国, 新興企業 etc.)
日	にち	no		bound/counter; standalone is 日(ひ)
昼食	ちゅうしょく	yes	昼食を食べました。	None
時代	じだい	yes	江戸時代の話です。	None
時刻	じこく	yes	出発の時刻を確認する。	None
時期	じき	yes	今は忙しい時期です。	None
最中	さいちゅう	yes	食事の最中です。	None
最終	さいしゅう	yes	最終のバスに乗り遅れた。	None
月	つき	yes	月がきれいですね。	None
末	まつ	no		bound morpheme; standalone is 末(すえ)
札	さつ	yes	千円札を出した。	None
杉	すぎ	yes	庭に杉が立っている。	None
松	まつ	yes	庭に松が生えている。	None
枚数	まいすう	yes	枚数を数えてください。	None
果実	かじつ	yes	果実を収穫する。	None
栓	せん	yes	瓶の栓を抜く。	None
校舎	こうしゃ	yes	新しい校舎ができた。	None
校長	こうちょう	yes	校長が話を始めた。	None
椅子	いす	yes	椅子に座ってください。	None
構造	こうぞう	yes	建物の構造を調べる。	None
橋	はし	yes	橋を渡る。	None
櫛	くし	yes	櫛で髪をとかす。	None
次	つぎ	yes	次は私の番です。	None
次第	しだい	yes	着き次第連絡します。	None
歌手	かしゅ	yes	好きな歌手は誰ですか。	None
正	せい	no		bound morpheme; only in compounds
正体	しょうたい	yes	正体がわかった。	None
正午	しょうご	yes	正午に会いましょう。	None
武士	ぶし	yes	昔、武士がいました。	None
死	し	yes	死を恐れる。	None
死体	したい	yes	死体が見つかった。	None
毎週	まいしゅう	yes	毎週日曜日に出かけます。	None
氏	し	no		suffix/highly formal; not used standalone
氏名	しめい	yes	氏名を書いてください。	None
水	みず	yes	水を飲みます。	None
水分	すいぶん	yes	水分をとってください。	None
汁	しる	yes	味噌汁の汁を飲む。	None
治療	ちりょう	yes	治療を受けた。	None
沿う	そう	yes	川に沿って歩く。	None
注	ちゅう	no		bound morpheme; usually 注釈/注意 or 注をつける is technical
注す	さす	no		rare kanji form; standalone use uncommon
注意	ちゅうい	yes	車に注意してください。	None
消化	しょうか	yes	消化に良い食べ物です。	None
涼む	すずむ	yes	木陰で涼む。	None
添う	そう	no		archaic/literary; mostly in compounds 寄り添う/付き添う
清む	すむ	no		archaic/literary variant of 澄む; rarely used standalone
清掃	せいそう	yes	教室の清掃をする。	None
済む	すむ	yes	仕事が済みました。	None
減少	げんしょう	yes	人口が減少している。	None
渦	うず	yes	川に渦ができている。	None
測量	そくりょう	yes	土地の測量をする。	None
漁師	りょうし	yes	父は漁師です。	None
演奏	えんそう	yes	ピアノの演奏を聞いた。	None
澄む	すむ	yes	空気が澄んでいる。	None
激増	げきぞう	yes	事故が激増した。	None
火事	かじ	yes	近所で火事があった。	None
点く	つく	yes	電気が点く。	None
為す	なす	yes	為すべきことをする。	None
為る	する	yes	宿題をします。	None
無事	ぶじ	yes	無事に家に着いた。	None
無地	むじ	yes	無地のシャツを買った。	None
無数	むすう	yes	空に無数の星が輝く。	None
無視	むし	yes	信号を無視するな。	None
焦点	しょうてん	yes	話の焦点がぼやけている。	None
父	ちち	yes	父は会社員です。	None
牛	うし	yes	牛が草を食べている。	None
状態	じょうたい	yes	車の状態を確認した。	None
狡い	ずるい	yes	そんなのずるいよ。	None
現状	げんじょう	yes	現状を説明します。	None
現象	げんしょう	yes	不思議な現象が起きた。	None
生	せい	no		bound morpheme; standalone "birth/life" uses 命 or 人生
生地	きじ	yes	この生地は柔らかい。	None
生長	せいちょう	no		technical/botanical term; everyday usage is 成長
用事	ようじ	yes	用事があって行けない。	None
申請	しんせい	yes	ビザを申請しました。	None
男子	だんし	yes	男子のトイレはあちらです。	None
症状	しょうじょう	yes	症状を医者に話す。	None
発	はつ	no		bound suffix (e.g., 東京発), not standalone noun
直	じき	yes	直に着きます。	None
直前	ちょくぜん	yes	試験の直前は緊張する。	None
直線	ちょくせん	yes	直線を引く。	None
相	そう	no		bound morpheme; only in compounds
相互	そうご	no		bound modifier; appears in 相互理解/相互作用, rarely standalone
相当	そうとう	yes	相当疲れている。	None
省～	しょう～	no		prefix only
着く	つく	yes	駅に着きました。	None
瞬間	しゅんかん	yes	その瞬間を忘れない。	None
知る	しる	yes	彼の名前を知っていますか。	None
知事	ちじ	yes	知事が発表した。	None
知人	ちじん	yes	知人に会いました。	None
石	いし	yes	石を投げた。	None
砂	すな	yes	砂が靴に入った。	None
磁器	じき	yes	きれいな磁器の皿だ。	None
磁気	じき	yes	磁気を帯びている。	None
社会	しゃかい	yes	社会のルールを守る。	None
社長	しゃちょう	yes	社長は今出かけています。	None
禅	ぜん	yes	禅を学んでいます。	None
税	ぜい	no		bound morpheme/suffix, requires modifier
種類	しゅるい	yes	たくさんの種類があります。	None
積む	つむ	yes	本を机に積む。	None
空く	すく	yes	お腹が空いた。	None
突く	つく	yes	棒で地面を突く。	None
立つ	たつ	yes	椅子から立つ。	None
章	しょう	yes	次の章を読みましょう。	None
端	はし	yes	道の端を歩く。	None
競争	きょうそう	yes	徒競走で競争した。	None
箸	はし	yes	箸でご飯を食べる。	None
節	ふし	yes	歌の節を覚えた。	None
精神	せいしん	yes	精神を集中する。	None
紅茶	こうちゃ	yes	紅茶を飲みましょう。	None
純情	じゅんじょう	yes	彼は純情な人だ。	None
終了	しゅうりょう	yes	会議が終了しました。	None
終点	しゅうてん	yes	終点で降ります。	None
経つ	たつ	yes	時間が経つのは早い。	None
維持	いじ	yes	健康を維持しています。	None
綱	つな	yes	綱を強く引く。	None
総～	そう～	no		prefix only
線	せん	yes	線をまっすぐ引いてください。	None
縁	ふち	yes	コップの縁が欠けた。	None
罪	つみ	yes	彼は罪を犯した。	None
習字	しゅうじ	yes	習字を習っています。	None
習慣	しゅうかん	yes	早起きの習慣がある。	None
耕地	こうち	no		technical/written; rarely used in casual speech
背	せい	yes	弟は背が高い。	None
膳	ぜん	no		mostly counter or in compounds; rarely standalone
自動	じどう	yes	このドアは自動です。	None
自治	じち	yes	自治を守る。	None
至急	しきゅう	yes	至急連絡してください。	None
茶	ちゃ	yes	お茶をどうぞ。	None
菓子	かし	yes	お菓子を食べる。	None
葬式	そうしき	yes	葬式に出ました。	None
蒸気	じょうき	yes	やかんから蒸気が出る。	None
虫	むし	yes	虫が飛んでいる。	None
虹	にじ	yes	空に虹が出た。	None
血	ち	yes	血が出た。	None
衆	しゅう	no		bound morpheme; only in compounds like 大衆/民衆
表示	ひょうじ	yes	画面に表示される。	None
表紙	ひょうし	yes	本の表紙が破れた。	None
製造	せいぞう	yes	車を製造する工場です。	None
複数	ふくすう	yes	複数の意見がある。	None
西	にし	yes	西の空が赤い。	None
要旨	ようし	yes	論文の要旨を書く。	None
視点	してん	yes	違う視点で考える。	None
視覚	しかく	yes	視覚に訴えるデザイン。	None
親類	しんるい	yes	親類が集まった。	None
角	すみ	yes	部屋の角に置く。	None
討つ	うつ	no		archaic/literary; standalone use limited to historical contexts
記事	きじ	yes	新聞の記事を読んだ。	None
試験	しけん	yes	明日試験があります。	None
詩	し	yes	詩を書きました。	None
詩人	しじん	yes	彼は有名な詩人です。	None
課長	かちょう	yes	課長に相談しました。	None
調子	ちょうし	yes	調子はどうですか。	None
調査	ちょうさ	yes	警察が調査している。	None
調節	ちょうせつ	yes	温度を調節してください。	None
諸～	しょ～	no		prefix only
講師	こうし	yes	新しい講師が来た。	None
象	ぞう	yes	動物園で象を見た。	None
財産	ざいさん	yes	財産を守る。	None
貴重	きちょう	yes	貴重な経験ができた。	None
貸し	かし	yes	君に貸しがある。	None
貸す	かす	yes	お金を貸してください。	None
資料	しりょう	yes	資料を準備しました。	None
資格	しかく	yes	教師の資格を取った。	None
賞	しょう	yes	賞をもらいました。	None
賞品	しょうひん	yes	賞品をもらった。	None
賞金	しょうきん	yes	賞金をもらった。	None
起床	きしょう	yes	毎朝六時に起床します。	None
超過	ちょうか	yes	時間を超過した。	None
趣味	しゅみ	yes	私の趣味は読書です。	None
足; 脚	あし	yes	足が痛い。	None
足す	たす	yes	二に三を足す。	None
身長	しんちょう	yes	身長を測る。	None
車掌	しゃしょう	yes	車掌に切符を見せた。	None
辞典	じてん	yes	辞典で調べる。	None
辞退	じたい	yes	招待を辞退した。	None
近い	ちかい	yes	駅は近いです。	None
近く	ちかく	yes	駅の近くに住んでいる。	None
迷信	めいしん	yes	それは迷信です。	None
通信	つうしん	yes	通信が途切れた。	None
通勤	つうきん	yes	毎日電車で通勤する。	None
通学	つうがく	yes	毎日電車で通学している。	None
通用	つうよう	yes	ここでは英語が通用する。	None
通訳	つうやく	yes	彼女は通訳をしている。	None
造船	ぞうせん	yes	造船の仕事をしている。	None
連れる	つれる	yes	子供を連れて来た。	None
週	しゅう	no		bound; standalone use rare, normally 今週/来週/一週間
進む	すすむ	yes	前に進んでください。	None
進行	しんこう	yes	工事が進行している。	None
遅刻	ちこく	yes	会議に遅刻した。	None
過剰	かじょう	yes	過剰な反応だ。	None
過失	かしつ	yes	過失を認めて謝った。	None
選手	せんしゅ	yes	選手が入場します。	None
部首	ぶしゅ	yes	漢字の部首を覚える。	None
郵送	ゆうそう	yes	書類を郵送しました。	None
都市	とし	yes	大きな都市に住んでいる。	None
酢	す	yes	酢を少し入れる。	None
重役	じゅうやく	yes	父は会社の重役です。	None
重点	じゅうてん	yes	文法に重点を置く。	None
重要	じゅうよう	yes	これは重要な問題です。	None
重視	じゅうし	yes	安全を重視する。	None
重量	じゅうりょう	yes	荷物の重量を量る。	None
釣	つり	yes	週末は釣に行きます。	None
釣る	つる	yes	川で魚を釣る。	None
鉢	はち	yes	花を鉢に植えた。	None
銃	じゅう	yes	銃を持っている。	None
鑑賞	かんしょう	yes	映画を鑑賞する。	None
長女	ちょうじょ	yes	彼女は長女です。	None
長所	ちょうしょ	yes	彼の長所は優しさだ。	None
長期	ちょうき	yes	長期の休みを取る。	None
長～	ちょう～	no		prefix only
開通	かいつう	yes	新しい道路が開通した。	None
関する	かんする	yes	環境に関する話をした。	None
附属	ふぞく	yes	附属の部品を確認してください。	None
隅	すみ	yes	部屋の隅に置く。	None
随分	ずいぶん	yes	随分大きくなったね。	None
隙	すき	yes	隙を見せるな。	None
集金	しゅうきん	yes	集金に伺います。	None
雑巾	ぞうきん	yes	雑巾で床を拭いた。	None
電子	でんし	yes	電子の動きを調べる。	None
電池	でんち	yes	電池が切れた。	None
需要	じゅよう	yes	需要が高まっている。	None
靴	くつ	yes	靴を履く。	None
頂上	ちょうじょう	yes	山の頂上まで登った。	None
頂点	ちょうてん	yes	頂点に達した。	None
順調	じゅんちょう	yes	仕事は順調です。	None
領事	りょうじ	yes	日本の領事に会った。	None
食料	しょくりょう	yes	食料を買いに行く。	None
食糧	しょくりょう	yes	食糧を備える。	None
餅	もち	yes	お正月に餅を食べる。	None
首相	しゅしょう	yes	首相が演説した。	None
高層	こうそう	yes	高層ビルが立ち並ぶ。	None
～さん	～さん	no		suffix only
～ちゃん	～ちゃん	no		suffix only
～中	～じゅう	no		suffix only
～中	～ちゅう	no		suffix only
～兆	～ちょう	no		counter requiring number
～前	～ぜん	no		suffix only (e.g., 食事前)
～勝	～しょう	no		counter requiring number
～史	～し	no		suffix only
～商	～しょう	no		suffix only
～場	～じょう	no		suffix only
～女	～じょ	no		counter suffix only
～室	～しつ	no		counter/suffix only
～寺	～じ	no		suffix only
～山	～さん	no		suffix only for mountain names (e.g., 富士山)
～帳	～ちょう	no		suffix only
～庁	～ちょう	no		suffix only
～戦	～せん	no		counter/suffix only
～所	～しょ	no		suffix only
～所	～じょ	no		suffix only
～日	～じつ	no		suffix only
～時	～じ	no		counter requiring number
～条	～じょう	no		counter/suffix only, requires number
～産	～さん	no		suffix only (origin marker)
～町	～ちょう	no		suffix only (place-name suffix)
～畳	～じょう	no		counter requiring number
～省	～しょう	no		suffix only
～紙	～し	no		suffix only
～船	～せん	no		counter only, requires number
～艘	～そう	no		counter requiring number
～色	～しょく	no		suffix only (e.g., 三色)
～足	～そく	no		counter requiring number
～通	～つう	no		counter for letters
～長	～ちょう	no		suffix only
～集	～しゅう	no		suffix only
