seed_level	seed_expression	seed_reading	partner_level	partner_expression	partner_reading	position	seed_mora	partner_mora	seed_example	partner_example
3	最中	さいちゅう	3	最終	さいしゅう	2	ちゅ	しゅ	食事の最中です。	最終のバスに乗り遅れた。
3	正体	しょうたい	3	状態	じょうたい	0	しょ	じょ	正体がわかった。	車の状態を確認した。
3	減少	げんしょう	3	現状	げんじょう	2	しょ	じょ	人口が減少している。	現状を説明します。
3	現状	げんじょう	3	現象	げんしょう	2	じょ	しょ	現状を説明します。	不思議な現象が起きた。
3	症状	しょうじょう	3	頂上	ちょうじょう	0	しょ	ちょ	症状を医者に話す。	山の頂上まで登った。
3	通学	つうがく	4	数学	すうがく	0	つ	す	毎日電車で通学している。	数学が好きだ。
3	進行	しんこう	4	人口	じんこう	0	し	じ	工事が進行している。	この町の人口は少ない。
4	工場	こうじょう	4	校長	こうちょう	2	じょ	ちょ	工場で働いています。	校長が話を始めた。
3	ずっと	ずっと	4	すっと	すっと	0	ず	す	ずっと待っていました。	彼はすっと立ち上がった。
3	ずれる	ずれる	4	連れる	つれる	0	ず	つ	時計が少しずれている。	子供を連れて来た。
3	そっと	そっと	5	ちょっと	ちょっと	0	そ	ちょ	そっとドアを閉めた。	ちょっと待ってください。
3	上司	じょうし	3	調子	ちょうし	0	じょ	ちょ	上司に相談しました。	調子はどうですか。
3	中止	ちゅうし	3	重視	じゅうし	0	ちゅ	じゅ	試合は中止になった。	安全を重視する。
3	主張	しゅちょう	3	首相	しゅしょう	1	ちょ	しょ	彼は自分の主張を曲げない。	首相が演説した。
3	主要	しゅよう	3	需要	じゅよう	0	しゅ	じゅ	主要なメンバーが集まった。	需要が高まっている。
3	事件	じけん	4	試験	しけん	0	じ	し	大きな事件が起きた。	明日試験があります。
3	児童	じどう	3	指導	しどう	0	じ	し	児童が公園で遊んでいる。	先生の指導を受ける。
3	動詞	どうし	3	同時	どうじ	2	し	じ	この動詞の意味を教えてください。	二人は同時に答えました。
3	同志	どうし	3	同時	どうじ	2	し	じ	彼は私の同志です。	二人は同時に答えました。
3	周囲	しゅうい	4	注意	ちゅうい	0	しゅ	ちゅ	周囲を見回した。	車に注意してください。
3	四角	しかく	5	近く	ちかく	0	し	ち	紙を四角に切る。	駅の近くに住んでいる。
3	地球	ちきゅう	3	支給	しきゅう	0	ち	し	地球は丸い。	給料が支給された。
3	地球	ちきゅう	3	至急	しきゅう	0	ち	し	地球は丸い。	至急連絡してください。
3	境	さかい	4	社会	しゃかい	0	さ	しゃ	県の境を越えました。	社会のルールを守る。
3	後者	こうしゃ	5	紅茶	こうちゃ	2	しゃ	ちゃ	私は後者を選ぶ。	紅茶を飲みましょう。
3	患者	かんじゃ	3	感謝	かんしゃ	2	じゃ	しゃ	患者を診察する。	感謝しています。
3	指導	しどう	3	自動	じどう	0	し	じ	先生の指導を受ける。	このドアは自動です。
3	捜査	そうさ	3	調査	ちょうさ	0	そ	ちょ	警察が捜査している。	警察が調査している。
3	操作	そうさ	3	調査	ちょうさ	0	そ	ちょ	機械の操作は簡単です。	警察が調査している。
3	支店	してん	4	辞典	じてん	0	し	じ	東京支店で働いています。	辞典で調べる。
3	時刻	じこく	3	遅刻	ちこく	0	じ	ち	出発の時刻を確認する。	会議に遅刻した。
3	校舎	こうしゃ	5	紅茶	こうちゃ	2	しゃ	ちゃ	新しい校舎ができた。	紅茶を飲みましょう。
3	次第	しだい	4	時代	じだい	0	し	じ	着き次第連絡します。	江戸時代の話です。
3	視点	してん	4	辞典	じてん	0	し	じ	違う視点で考える。	辞典で調べる。
3	視覚	しかく	5	近く	ちかく	0	し	ち	視覚に訴えるデザイン。	駅の近くに住んでいる。
3	資格	しかく	5	近く	ちかく	0	し	ち	教師の資格を取った。	駅の近くに住んでいる。
3	ミス	ミス	3	密	みつ	1	す	つ	ミスをしてしまった。	人と人との接触が密になる。
3	ミス	ミス	5	水	みず	1	す	ず	ミスをしてしまった。	水を飲みます。
3	主義	しゅぎ	5	次	つぎ	0	しゅ	つ	私の主義に反する。	次は私の番です。
3	付く	つく	4	空く	すく	0	つ	す	服に泥が付いた。	お腹が空いた。
3	位置	いち	3	医師	いし	1	ち	し	地図で位置を確認する。	医師に相談してください。
3	位置	いち	3	意地	いじ	1	ち	じ	地図で位置を確認する。	意地を張るな。
3	位置	いち	3	意志	いし	1	ち	し	地図で位置を確認する。	強い意志を持つ。
3	位置	いち	3	意思	いし	1	ち	し	地図で位置を確認する。	自分の意思で決めた。
3	位置	いち	3	維持	いじ	1	ち	じ	地図で位置を確認する。	健康を維持しています。
3	位置	いち	4	石	いし	1	ち	し	地図で位置を確認する。	石を投げた。
3	価値	かち	3	家事	かじ	1	ち	じ	この本には価値がある。	毎日家事をしている。
3	価値	かち	3	菓子	かし	1	ち	し	この本には価値がある。	お菓子を食べる。
3	価値	かち	3	貸し	かし	1	ち	し	この本には価値がある。	君に貸しがある。
3	価値	かち	4	火事	かじ	1	ち	じ	この本には価値がある。	近所で火事があった。
3	刷る	する	4	釣る	つる	0	す	つ	ポスターを刷る。	川で魚を釣る。
3	刺す	さす	3	札	さつ	1	す	つ	蜂に刺された。	千円札を出した。
3	勝ち	かち	3	家事	かじ	1	ち	じ	今日は勝ちだ。	毎日家事をしている。
3	勝ち	かち	3	菓子	かし	1	ち	し	今日は勝ちだ。	お菓子を食べる。
3	勝ち	かち	3	貸し	かし	1	ち	し	今日は勝ちだ。	君に貸しがある。
3	勝ち	かち	4	火事	かじ	1	ち	じ	今日は勝ちだ。	近所で火事があった。
3	医師	いし	3	市	いち	1	し	ち	医師に相談してください。	日曜日に市が立つ。
3	医師	いし	3	意地	いじ	1	し	じ	医師に相談してください。	意地を張るな。
3	医師	いし	3	維持	いじ	1	し	じ	医師に相談してください。	健康を維持しています。
3	医師	いし	5	一	いち	1	し	ち	医師に相談してください。	一から始めよう。
3	四季	しき	3	時期	じき	0	し	じ	日本には四季がある。	今は忙しい時期です。
3	四季	しき	3	直	じき	0	し	じ	日本には四季がある。	直に着きます。
3	四季	しき	3	磁器	じき	0	し	じ	日本には四季がある。	きれいな磁器の皿だ。
3	四季	しき	3	磁気	じき	0	し	じ	日本には四季がある。	磁気を帯びている。
3	土地	とち	3	都市	とし	1	ち	し	この土地は高い。	大きな都市に住んでいる。
3	土地	とち	5	年	とし	1	ち	し	この土地は高い。	年を取りました。
3	増す	ます	3	松	まつ	1	す	つ	川の水が増す。	庭に松が生えている。
3	増す	ます	4	まず	まず	1	す	ず	川の水が増す。	まず手を洗ってください。
3	増す	ます	5	待つ	まつ	1	す	つ	川の水が増す。	駅で待っています。
3	墨	すみ	3	罪	つみ	0	す	つ	墨で字を書く。	彼は罪を犯した。
3	墨	すみ	4	趣味	しゅみ	0	す	しゅ	墨で字を書く。	私の趣味は読書です。
3	家事	かじ	3	菓子	かし	1	じ	し	毎日家事をしている。	お菓子を食べる。
3	家事	かじ	3	貸し	かし	1	じ	し	毎日家事をしている。	君に貸しがある。
3	密	みつ	5	水	みず	1	つ	ず	人と人との接触が密になる。	水を飲みます。
3	就く	つく	4	空く	すく	0	つ	す	新しい仕事に就いた。	お腹が空いた。
3	尻	しり	4	地理	ちり	0	し	ち	尻が痛い。	地理の勉強が好きです。
3	岸	きし	3	生地	きじ	1	し	じ	川の岸を歩いた。	この生地は柔らかい。
3	岸	きし	3	記事	きじ	1	し	じ	川の岸を歩いた。	新聞の記事を読んだ。
3	州	しゅう	3	銃	じゅう	0	しゅ	じゅ	カリフォルニア州に住んでいる。	銃を持っている。
3	州	しゅう	5	十	じゅう	0	しゅ	じゅ	カリフォルニア州に住んでいる。	十まで数えてください。
3	州	しゅう	5	吸う	すう	0	しゅ	す	カリフォルニア州に住んでいる。	深く息を吸う。
3	市	いち	3	意地	いじ	1	ち	じ	日曜日に市が立つ。	意地を張るな。
3	市	いち	3	意志	いし	1	ち	し	日曜日に市が立つ。	強い意志を持つ。
3	市	いち	3	意思	いし	1	ち	し	日曜日に市が立つ。	自分の意思で決めた。
3	市	いち	3	維持	いじ	1	ち	じ	日曜日に市が立つ。	健康を維持しています。
3	市	いち	4	石	いし	1	ち	し	日曜日に市が立つ。	石を投げた。
3	建つ	たつ	4	足す	たす	1	つ	す	新しい家が建つ。	二に三を足す。
3	情	じょう	3	沿う	そう	0	じょ	そ	彼は情が深い。	川に沿って歩く。
3	情	じょう	3	章	しょう	0	じょ	しょ	彼は情が深い。	次の章を読みましょう。
3	情	じょう	3	象	ぞう	0	じょ	ぞ	彼は情が深い。	動物園で象を見た。
3	情	じょう	3	賞	しょう	0	じょ	しょ	彼は情が深い。	賞をもらいました。
3	情	じょう	4	そう	そう	0	じょ	そ	彼は情が深い。	そう、その通りです。
3	意地	いじ	3	意志	いし	1	じ	し	意地を張るな。	強い意志を持つ。
3	意地	いじ	3	意思	いし	1	じ	し	意地を張るな。	自分の意思で決めた。
3	意地	いじ	4	石	いし	1	じ	し	意地を張るな。	石を投げた。
3	意地	いじ	5	一	いち	1	じ	ち	意地を張るな。	一から始めよう。
3	意志	いし	3	維持	いじ	1	し	じ	強い意志を持つ。	健康を維持しています。
3	意志	いし	5	一	いち	1	し	ち	強い意志を持つ。	一から始めよう。
3	意思	いし	3	維持	いじ	1	し	じ	自分の意思で決めた。	健康を維持しています。
3	意思	いし	5	一	いち	1	し	ち	自分の意思で決めた。	一から始めよう。
3	指す	さす	3	札	さつ	1	す	つ	地図を指す。	千円札を出した。
3	指揮	しき	3	時期	じき	0	し	じ	彼は指揮を執った。	今は忙しい時期です。
3	指揮	しき	3	直	じき	0	し	じ	彼は指揮を執った。	直に着きます。
3	指揮	しき	3	磁器	じき	0	し	じ	彼は指揮を執った。	きれいな磁器の皿だ。
3	指揮	しき	3	磁気	じき	0	し	じ	彼は指揮を執った。	磁気を帯びている。
3	挿す	さす	3	札	さつ	1	す	つ	花瓶に花を挿す。	千円札を出した。
3	摘む	つむ	3	澄む	すむ	0	つ	す	花を摘む。	空気が澄んでいる。
3	摘む	つむ	4	済む	すむ	0	つ	す	花を摘む。	仕事が済みました。
3	摘む	つむ	5	住む	すむ	0	つ	す	花を摘む。	東京に住んでいます。
3	撃つ	うつ	3	渦	うず	1	つ	ず	的を撃つ練習をする。	川に渦ができている。
3	擦る	する	4	釣る	つる	0	す	つ	マッチを擦る。	川で魚を釣る。
3	散る	ちる	5	知る	しる	0	ち	し	桜の花が散る。	彼の名前を知っていますか。
3	数	かず	3	歌手	かしゅ	1	ず	しゅ	数を数える。	好きな歌手は誰ですか。
3	数	かず	4	勝つ	かつ	1	ず	つ	数を数える。	試合に勝ちました。
3	数	かず	5	貸す	かす	1	ず	す	数を数える。	お金を貸してください。
3	文字	もじ	4	もし	もし	1	じ	し	文字を大きくしてください。	もし雨なら、行きません。
3	断つ	たつ	4	足す	たす	1	つ	す	お酒を断つことにした。	二に三を足す。
3	札	さつ	5	シャツ	シャツ	0	さ	しゃ	千円札を出した。	白いシャツを買った。
3	札	さつ	5	差す	さす	1	つ	す	千円札を出した。	傘を差す。
3	松	まつ	4	まず	まず	1	つ	ず	庭に松が生えている。	まず手を洗ってください。
3	歌手	かしゅ	4	勝つ	かつ	1	しゅ	つ	好きな歌手は誰ですか。	試合に勝ちました。
3	歌手	かしゅ	5	貸す	かす	1	しゅ	す	好きな歌手は誰ですか。	お金を貸してください。
3	沿う	そう	3	章	しょう	0	そ	しょ	川に沿って歩く。	次の章を読みましょう。
3	沿う	そう	3	象	ぞう	0	そ	ぞ	川に沿って歩く。	動物園で象を見た。
3	沿う	そう	3	賞	しょう	0	そ	しょ	川に沿って歩く。	賞をもらいました。
3	渦	うず	4	打つ	うつ	1	ず	つ	川に渦ができている。	ボールを打つ。
3	澄む	すむ	3	積む	つむ	0	す	つ	空気が澄んでいる。	本を机に積む。
3	為る	する	4	釣る	つる	0	す	つ	宿題をします。	川で魚を釣る。
3	牛	うし	4	内	うち	1	し	ち	牛が草を食べている。	うちの中で遊ぶ。
3	牛	うし	5	うち	うち	1	し	ち	牛が草を食べている。	うちに帰ります。
3	知事	ちじ	5	父	ちち	1	じ	ち	知事が発表した。	父は会社員です。
3	禅	ぜん	4	線	せん	0	ぜ	せ	禅を学んでいます。	線をまっすぐ引いてください。
3	禅	ぜん	5	千	せん	0	ぜ	せ	禅を学んでいます。	千円ください。
3	積む	つむ	4	済む	すむ	0	つ	す	本を机に積む。	仕事が済みました。
3	積む	つむ	5	住む	すむ	0	つ	す	本を机に積む。	東京に住んでいます。
3	突く	つく	4	空く	すく	0	つ	す	棒で地面を突く。	お腹が空いた。
3	章	しょう	3	象	ぞう	0	しょ	ぞ	次の章を読みましょう。	動物園で象を見た。
3	章	しょう	4	そう	そう	0	しょ	そ	次の章を読みましょう。	そう、その通りです。
3	端	はし	5	八	はち	1	し	ち	道の端を歩く。	八時に会いましょう。
3	節	ふし	3	縁	ふち	1	し	ち	歌の節を覚えた。	コップの縁が欠けた。
3	経つ	たつ	4	足す	たす	1	つ	す	時間が経つのは早い。	二に三を足す。
3	維持	いじ	4	石	いし	1	じ	し	健康を維持しています。	石を投げた。
3	維持	いじ	5	一	いち	1	じ	ち	健康を維持しています。	一から始めよう。
3	罪	つみ	3	角	すみ	0	つ	す	彼は罪を犯した。	部屋の角に置く。
3	罪	つみ	4	趣味	しゅみ	0	つ	しゅ	彼は罪を犯した。	私の趣味は読書です。
3	罪	つみ	4	隅	すみ	0	つ	す	彼は罪を犯した。	部屋の隅に置く。
3	菓子	かし	4	火事	かじ	1	し	じ	お菓子を食べる。	近所で火事があった。
3	角	すみ	4	趣味	しゅみ	0	す	しゅ	部屋の角に置く。	私の趣味は読書です。
3	象	ぞう	3	賞	しょう	0	ぞ	しょ	動物園で象を見た。	賞をもらいました。
3	象	ぞう	4	そう	そう	0	ぞ	そ	動物園で象を見た。	そう、その通りです。
3	貸し	かし	4	火事	かじ	1	し	じ	君に貸しがある。	近所で火事があった。
3	賞	しょう	4	そう	そう	0	しょ	そ	賞をもらいました。	そう、その通りです。
3	釣	つり	4	すり	すり	0	つ	す	週末は釣に行きます。	電車ですりに気をつけて。
3	銃	じゅう	5	吸う	すう	0	じゅ	す	銃を持っている。	深く息を吸う。
4	まず	まず	5	待つ	まつ	1	ず	つ	まず手を洗ってください。	駅で待っています。
4	勝つ	かつ	5	貸す	かす	1	つ	す	試合に勝ちました。	お金を貸してください。
4	味	あじ	5	足; 脚	あし	1	じ	し	この味が好きです。	足が痛い。
4	月	つき	5	好き	すき	0	つ	す	月がきれいですね。	犬が好きです。
4	点く	つく	4	空く	すく	0	つ	す	電気が点く。	お腹が空いた。
4	石	いし	5	一	いち	1	し	ち	石を投げた。	一から始めよう。
4	空く	すく	5	着く	つく	0	す	つ	お腹が空いた。	駅に着きました。
4	趣味	しゅみ	4	隅	すみ	0	しゅ	す	私の趣味は読書です。	部屋の隅に置く。
4	足す	たす	5	立つ	たつ	1	す	つ	二に三を足す。	椅子から立つ。
4	釣る	つる	5	する	する	0	つ	す	川で魚を釣る。	写真をTシャツにする。
5	いつ	いつ	5	椅子	いす	1	つ	す	いつ来ますか。	椅子に座ってください。
5	七	しち	5	父	ちち	0	し	ち	七時に起きます。	父は会社員です。
5	八	はち	5	橋	はし	1	ち	し	八時に会いましょう。	橋を渡る。
5	八	はち	5	箸	はし	1	ち	し	八時に会いましょう。	箸でご飯を食べる。
5	十	じゅう	5	吸う	すう	0	じゅ	す	十まで数えてください。	深く息を吸う。
3	図	ず	3	巣	す	0	ず	す	図を見てください。	鳥が巣を作った。
3	図	ず	3	酢	す	0	ず	す	図を見てください。	酢を少し入れる。
3	差	さ	3	茶	ちゃ	0	さ	ちゃ	値段に差がある。	お茶をどうぞ。
3	死	し	4	字	じ	0	し	じ	死を恐れる。	字をきれいに書く。
3	死	し	4	血	ち	0	し	ち	死を恐れる。	血が出た。
3	詩	し	4	字	じ	0	し	じ	詩を書きました。	字をきれいに書く。
3	詩	し	4	血	ち	0	し	ち	詩を書きました。	血が出た。
4	字	じ	4	市	し	0	じ	し	字をきれいに書く。	この市は人口が多い。
4	字	じ	4	血	ち	0	じ	ち	字をきれいに書く。	血が出た。
4	字	じ	5	四	し	0	じ	し	字をきれいに書く。	四と四で八になる。
4	市	し	4	血	ち	0	し	ち	この市は人口が多い。	血が出た。
4	血	ち	5	四	し	0	ち	し	血が出た。	四と四で八になる。
