seed_level	seed_expression	seed_reading	partner_level	partner_expression	partner_reading	position	seed_mora	partner_mora
5	先週	せんしゅう	2	全集	ぜんしゅう	0	せ	ぜ
5	毎週	まいしゅう	2	枚数	まいすう	2	しゅ	す
3	不足	ふそく	2	付属	ふぞく	1	そ	ぞ
3	不足	ふそく	2	附属	ふぞく	1	そ	ぞ
3	増加	ぞうか	2	消化	しょうか	0	ぞ	しょ
3	増加	ぞうか	2	超過	ちょうか	0	ぞ	ちょ
3	夢中	むちゅう	2	無数	むすう	1	ちゅ	す
3	字体	じたい	2	地帯	ちたい	0	じ	ち
3	字体	じたい	2	死体	したい	0	じ	し
3	少女	しょうじょ	2	長女	ちょうじょ	0	しょ	ちょ
3	後者	こうしゃ	2	交差	こうさ	2	しゃ	さ
3	支店	してん	2	地点	ちてん	0	し	ち
3	数字	すうじ	2	習字	しゅうじ	0	す	しゅ
3	校舎	こうしゃ	2	交差	こうさ	2	しゃ	さ
3	正午	しょうご	2	相互	そうご	0	しょ	そ
3	治療	ちりょう	2	資料	しりょう	0	ち	し
3	男子	だんし	2	団地	だんち	2	し	ち
3	種類	しゅるい	2	狡い	ずるい	0	しゅ	ず
3	表示	ひょうじ	2	表紙	ひょうし	2	じ	し
3	視点	してん	2	地点	ちてん	0	し	ち
3	詩人	しじん	2	知人	ちじん	0	し	ち
3	貴重	きちょう	2	起床	きしょう	1	ちょ	しょ
3	辞退	じたい	2	地帯	ちたい	0	じ	ち
3	辞退	じたい	2	死体	したい	0	じ	し
3	選手	せんしゅ	2	扇子	せんす	2	しゅ	す
3	長期	ちょうき	2	蒸気	じょうき	0	ちょ	じょ
3	電子	でんし	2	電池	でんち	2	し	ち
4	用事	ようじ	2	幼稚	ようち	2	じ	ち
4	用事	ようじ	2	要旨	ようし	2	じ	し
4	社長	しゃちょう	2	車掌	しゃしょう	1	ちょ	しょ
4	課長	かちょう	2	過剰	かじょう	1	ちょ	じょ
4	辞典	じてん	2	地点	ちてん	0	じ	ち
4	進む	すすむ	2	涼む	すずむ	1	す	ず
4	～ちゃん	～ちゃん	2	～山	～さん	1	ちゃ	さ
4	～ちゃん	～ちゃん	2	～産	～さん	1	ちゃ	さ
4	～町	～ちょう	2	～勝	～しょう	1	ちょ	しょ
4	～町	～ちょう	2	～商	～しょう	1	ちょ	しょ
4	～町	～ちょう	2	～場	～じょう	1	ちょ	じょ
4	～町	～ちょう	2	～条	～じょう	1	ちょ	じょ
4	～町	～ちょう	2	～畳	～じょう	1	ちょ	じょ
4	～町	～ちょう	2	～省	～しょう	1	ちょ	しょ
4	～町	～ちょう	2	～艘	～そう	1	ちょ	そ
5	丈夫	じょうぶ	2	勝負	しょうぶ	0	じょ	しょ
5	家族	かぞく	2	加速	かそく	1	ぞ	そ
5	紅茶	こうちゃ	2	交差	こうさ	2	ちゃ	さ
5	近い	ちかい	2	司会	しかい	0	ち	し
5	～中	～じゅう	2	～通	～つう	1	じゅ	つ
5	～中	～じゅう	2	～集	～しゅう	1	じゅ	しゅ
5	～中	～ちゅう	2	～通	～つう	1	ちゅ	つ
5	～中	～ちゅう	2	～集	～しゅう	1	ちゅ	しゅ
3	主義	しゅぎ	2	杉	すぎ	0	しゅ	す
3	全	ぜん	2	栓	せん	0	ぜ	せ
3	刷る	する	2	吊る	つる	0	す	つ
3	善	ぜん	2	栓	せん	0	ぜ	せ
3	地区	ちく	2	敷く	しく	0	ち	し
3	岸	きし	2	基地	きち	1	し	ち
3	打つ	ぶつ	2	部首	ぶしゅ	1	つ	しゅ
3	擦る	する	2	吊る	つる	0	す	つ
3	散る	ちる	2	汁	しる	0	ち	し
3	文字	もじ	2	餅	もち	1	じ	ち
3	日	にち	2	虹	にじ	1	ち	じ
3	為る	する	2	吊る	つる	0	す	つ
3	無事	ぶじ	2	武士	ぶし	1	じ	し
3	無視	むし	2	無地	むじ	1	し	じ
3	生地	きじ	2	基地	きち	1	じ	ち
3	禅	ぜん	2	栓	せん	0	ぜ	せ
3	端	はし	2	鉢	はち	1	し	ち
3	膳	ぜん	2	栓	せん	0	ぜ	せ
3	記事	きじ	2	基地	きち	1	じ	ち
4	はず	はず	2	斜	はす	1	ず	す
4	はず	はず	2	発	はつ	1	ず	つ
4	もし	もし	2	餅	もち	1	し	ち
4	月	つき	2	隙	すき	0	つ	す
4	砂	すな	2	綱	つな	0	す	つ
4	虫	むし	2	無地	むじ	1	し	じ
5	する	する	2	吊る	つる	0	す	つ
5	バス	バス	2	×	ばつ	1	す	つ
5	七	しち	2	自治	じち	0	し	じ
5	口	くち	2	櫛	くし	1	ち	し
5	夏	なつ	2	為す	なす	1	つ	す
5	橋	はし	2	鉢	はち	1	し	ち
5	次	つぎ	2	杉	すぎ	0	つ	す
5	父	ちち	2	自治	じち	0	ち	じ
5	箸	はし	2	鉢	はち	1	し	ち
5	西	にし	2	虹	にじ	1	し	じ
5	靴	くつ	2	屑	くず	1	つ	ず
5	～時	～じ	2	～史	～し	1	じ	し
5	～時	～じ	2	～紙	～し	1	じ	し
